"","여행시나이대_만","성별.x","FIT등급","PKG이용등급","고객번호.1"
"49","39to43","F","6_무등급","5_1회성",76922338
"50","54to58","M","6_무등급","4_일반",77128874
"51","64to68","M","6_무등급","5_1회성",77418087
"52","59to63","F","6_무등급","5_1회성",77418167
"53","49to53","F","6_무등급","4_일반",77567609
"54","59to63","F","5_1회성","5_1회성",77570724
"55","64to68","M","6_무등급","2_VIP",77607274
"56","39to43","F","6_무등급","5_1회성",76774388
"57","59to63","F","6_무등급","5_1회성",76783191
"58","44to48","F","6_무등급","6_무등급",76797971
"59","49to53","M","6_무등급","6_무등급",76798054
"60","74to78","F","6_무등급","5_1회성",76941141
"61","44to48","F","6_무등급","4_일반",76964128
"62","74to78","M","6_무등급","5_1회성",77069560
"63","49to53","M","4_일반","5_1회성",77069644
"64","49to53","F","4_일반","5_1회성",77069645
"65","19to23","F","4_일반","5_1회성",77069647
"66","49to53","F","6_무등급","5_1회성",77216541
"67","44to48","F","6_무등급","2_VIP",77366885
"68","24to28","F","6_무등급","2_VIP",77366886
"69","54to58","F","4_일반","2_VIP",77502962
"70","49to53","M","3_우수","5_1회성",77513134
"71","54to58","F","6_무등급","4_일반",77525027
"72","54to58","M","6_무등급","4_일반",77525028
"73","59to63","M","6_무등급","4_일반",77638744
"74","54to58","F","6_무등급","4_일반",77653009
"75","44to48","F","6_무등급","6_무등급",76797971
"76","49to53","M","6_무등급","6_무등급",76798054
"77","59to63","M","6_무등급","5_1회성",77090063
"78","54to58","M","2_VIP","6_무등급",77151785
"79","54to58","M","2_VIP","6_무등급",77151785
"80","54to58","F","4_일반","5_1회성",77159895
"81","54to58","M","6_무등급","3_우수",77170589
"82","59to63","F","6_무등급","3_우수",77260399
"83","49to53","F","6_무등급","2_VIP",77319723
"84","39to43","F","6_무등급","5_1회성",77412563
"85","54to58","F","5_1회성","6_무등급",77603159
"86","69to73","M","5_1회성","2_VIP",77614585
"87","39to43","F","6_무등급","5_1회성",76815207
"88","64to68","M","6_무등급","3_우수",76857495
"89","59to63","F","6_무등급","3_우수",76857496
"90","54to58","F","6_무등급","5_1회성",77111563
"91","54to58","F","6_무등급","3_우수",77112610
"92","44to48","M","5_1회성","5_1회성",77163972
"93","54to58","F","6_무등급","2_VIP",77280408
"94","64to68","F","6_무등급","2_VIP",77339990
"95","64to68","F","6_무등급","2_VIP",77339991
"96","49to53","F","4_일반","5_1회성",77395497
"97","59to63","F","5_1회성","6_무등급",77413938
"98","59to63","F","6_무등급","2_VIP",77415241
"99","64to68","M","6_무등급","5_1회성",77479441
"100","44to48","M","5_1회성","6_무등급",77493459
"101","44to48","F","5_1회성","6_무등급",77493460
"102","44to48","M","6_무등급","5_1회성",77556930
"103","59to63","F","6_무등급","3_우수",77657271
"104","59to63","F","6_무등급","5_1회성",76802822
"105","39to43","M","6_무등급","4_일반",76838560
"106","59to63","F","6_무등급","3_우수",76882908
"107","49to53","F","6_무등급","3_우수",76923507
"108","54to58","F","6_무등급","3_우수",76961016
"109","64to68","M","6_무등급","2_VIP",77022447
"110","54to58","F","6_무등급","5_1회성",77081058
"111","54to58","F","4_일반","1_VVIP",77098314
"112","54to58","M","5_1회성","5_1회성",77130667
"113","44to48","F","6_무등급","5_1회성",77130668
"114","54to58","M","4_일반","3_우수",77158771
"115","44to48","M","6_무등급","5_1회성",77220902
"116","49to53","M","6_무등급","4_일반",77254573
"117","54to58","F","6_무등급","5_1회성",77291064
"118","59to63","F","6_무등급","5_1회성",77295636
"119","44to48","F","6_무등급","5_1회성",77311308
"120","54to58","F","6_무등급","5_1회성",77348252
"121","74to78","F","6_무등급","4_일반",77427716
"122","34to38","F","4_일반","4_일반",77462790
"123","54to58","F","6_무등급","5_1회성",77526175
"124","44to48","M","6_무등급","5_1회성",76790863
"125","49to53","F","6_무등급","5_1회성",76791616
"126","49to53","F","6_무등급","3_우수",77000915
"127","54to58","F","6_무등급","5_1회성",77187689
"128","44to48","F","6_무등급","6_무등급",77608044
"129","49to53","F","5_1회성","2_VIP",77608714
"130","34to38","M","6_무등급","5_1회성",77016325
"131","44to48","F","5_1회성","4_일반",77140542
"132","49to53","M","6_무등급","5_1회성",77141304
"133","59to63","F","6_무등급","4_일반",77251215
"134","64to68","F","6_무등급","5_1회성",77301542
"135","59to63","F","6_무등급","3_우수",77331590
"136","54to58","M","6_무등급","5_1회성",77337149
"137","54to58","M","6_무등급","5_1회성",77422426
"138","59to63","M","6_무등급","6_무등급",77460513
"139","54to58","F","6_무등급","6_무등급",77460514
"140","74to78","M","6_무등급","5_1회성",77543580
"141","69to73","F","6_무등급","5_1회성",77543581
"142","49to53","M","6_무등급","5_1회성",77565637
"143","49to53","F","6_무등급","4_일반",77581238
"144","24to28","F","6_무등급","5_1회성",77581239
"145","49to53","F","6_무등급","5_1회성",76771185
"146","49to53","M","6_무등급","5_1회성",76881845
"147","49to53","F","6_무등급","3_우수",76897485
"148","44to48","M","5_1회성","5_1회성",76947565
"149","39to43","F","4_일반","3_우수",76963746
"150","44to48","M","5_1회성","5_1회성",77010330
"151","54to58","F","6_무등급","2_VIP",77135446
"152","49to53","F","4_일반","6_무등급",77180276
"153","49to53","M","4_일반","6_무등급",77180277
"154","24to28","F","4_일반","5_1회성",77194865
"155","59to63","F","4_일반","6_무등급",77227117
"156","49to53","M","6_무등급","3_우수",77272953
"157","74to78","M","6_무등급","5_1회성",77296894
"158","69to73","F","6_무등급","5_1회성",77296975
"159","59to63","F","6_무등급","4_일반",77350733
"160","64to68","F","6_무등급","2_VIP",77385129
"161","44to48","F","5_1회성","6_무등급",77390401
"162","54to58","F","6_무등급","3_우수",77400057
"163","49to53","F","6_무등급","5_1회성",77417359
"164","49to53","M","6_무등급","5_1회성",77488183
"165","44to48","F","6_무등급","5_1회성",77488184
"166","59to63","F","6_무등급","6_무등급",77512277
"167","54to58","F","6_무등급","3_우수",77517972
"168","49to53","M","6_무등급","5_1회성",77529940
"169","44to48","M","3_우수","2_VIP",77556328
"170","29to33","F","5_1회성","5_1회성",77566731
"171","39to43","F","5_1회성","5_1회성",77590978
"172","59to63","F","5_1회성","6_무등급",76887868
"173","59to63","F","5_1회성","5_1회성",77086348
"174","49to53","F","6_무등급","6_무등급",77095287
"175","39to43","F","6_무등급","5_1회성",77106667
"176","39to43","F","5_1회성","3_우수",77113489
"177","54to58","F","5_1회성","6_무등급",77160700
"178","29to33","F","6_무등급","5_1회성",77239382
"179","69to73","F","6_무등급","5_1회성",77336176
"180","49to53","F","5_1회성","2_VIP",77441133
"181","39to43","F","6_무등급","5_1회성",77475967
"182","59to63","M","6_무등급","4_일반",77584149
"183","34to38","F","5_1회성","6_무등급",77615932
"184","64to68","M","6_무등급","5_1회성",76820085
"185","44to48","F","6_무등급","4_일반",76832124
"186","49to53","F","6_무등급","4_일반",76875381
"187","44to48","F","4_일반","5_1회성",76880006
"188","54to58","F","6_무등급","5_1회성",76998213
"189","54to58","F","6_무등급","5_1회성",76998213
"190","39to43","F","5_1회성","5_1회성",77251594
"191","59to63","F","5_1회성","3_우수",77380895
"192","44to48","F","6_무등급","5_1회성",77390820
"193","29to33","F","5_1회성","6_무등급",77395270
"194","44to48","F","6_무등급","6_무등급",77445493
"195","54to58","M","6_무등급","5_1회성",77465938
"196","59to63","M","6_무등급","3_우수",77540482
"197","64to68","M","6_무등급","5_1회성",77576801
"198","49to53","M","6_무등급","5_1회성",76792778
"199","39to43","F","6_무등급","4_일반",76943007
"200","29to33","F","6_무등급","2_VIP",77006077
"201","54to58","M","6_무등급","3_우수",77099002
"202","39to43","M","6_무등급","5_1회성",77195533
"203","49to53","F","4_일반","4_일반",77289727
"204","49to53","M","5_1회성","6_무등급",77413253
"205","39to43","F","5_1회성","6_무등급",77413254
"206","54to58","M","6_무등급","3_우수",77443821
"207","54to58","M","6_무등급","5_1회성",77489367
"208","44to48","F","6_무등급","5_1회성",77538489
"209","49to53","F","6_무등급","4_일반",77567609
"210","34to38","F","5_1회성","5_1회성",77588684
"211","59to63","F","6_무등급","5_1회성",77650355
"212","24to28","F","6_무등급","6_무등급",76886148
"213","39to43","M","6_무등급","5_1회성",77006372
"214","44to48","F","6_무등급","6_무등급",77119502
"215","29to33","F","5_1회성","6_무등급",77123480
"216","29to33","F","5_1회성","6_무등급",77123480
"217","54to58","F","6_무등급","5_1회성",77165548
"218","49to53","F","6_무등급","4_일반",77286465
"219","49to53","M","6_무등급","5_1회성",77494805
"220","44to48","M","6_무등급","5_1회성",77543555
"221","39to43","F","6_무등급","3_우수",77543556
"222","49to53","F","5_1회성","3_우수",77650077
"223","49to53","M","6_무등급","5_1회성",76809289
"224","59to63","M","6_무등급","3_우수",76860128
"225","54to58","F","6_무등급","3_우수",76860129
"226","44to48","F","6_무등급","4_일반",76914192
"227","74to78","M","6_무등급","3_우수",77012690
"228","44to48","F","6_무등급","5_1회성",77276514
"229","39to43","F","6_무등급","5_1회성",77290663
"230","59to63","M","6_무등급","5_1회성",77348428
"231","54to58","F","6_무등급","5_1회성",77524286
"232","39to43","F","6_무등급","5_1회성",77539546
"233","34to38","F","6_무등급","3_우수",77642255
"234","24to28","F","4_일반","5_1회성",76817557
"235","54to58","F","6_무등급","2_VIP",76872158
"236","44to48","F","6_무등급","5_1회성",76959984
"237","44to48","F","6_무등급","5_1회성",76959984
"238","49to53","M","6_무등급","3_우수",77127752
"239","44to48","F","6_무등급","3_우수",77127753
"240","64to68","F","6_무등급","4_일반",77161311
"241","29to33","F","4_일반","5_1회성",77187254
"242","64to68","M","6_무등급","5_1회성",77189522
"243","44to48","F","3_우수","6_무등급",77218519
"244","74to78","M","6_무등급","5_1회성",77249923
"245","29to33","F","5_1회성","5_1회성",77273844
"246","49to53","F","4_일반","5_1회성",77328559
"247","39to43","F","1_VVIP","5_1회성",77349768
"248","54to58","M","6_무등급","5_1회성",77378762
"249","49to53","F","6_무등급","4_일반",77428888
"250","49to53","F","5_1회성","5_1회성",77483056
"251","54to58","F","6_무등급","5_1회성",77567644
"252","64to68","F","6_무등급","5_1회성",77569685
"253","39to43","F","4_일반","5_1회성",77642858
"254","54to58","M","5_1회성","3_우수",77646209
"255","54to58","M","6_무등급","5_1회성",77652791
"256","49to53","F","6_무등급","5_1회성",77652792
"257","39to43","F","6_무등급","4_일반",76906207
"258","59to63","M","6_무등급","5_1회성",76954149
"259","39to43","F","6_무등급","5_1회성",77081815
"260","34to38","F","6_무등급","4_일반",77106795
"261","24to28","F","6_무등급","5_1회성",77129348
"262","49to53","M","6_무등급","5_1회성",77143759
"263","34to38","F","6_무등급","4_일반",77362641
"264","44to48","M","4_일반","5_1회성",77394561
"265","39to43","F","5_1회성","3_우수",77394562
"266","54to58","M","6_무등급","5_1회성",77400828
"267","49to53","F","6_무등급","5_1회성",77400829
"268","54to58","M","6_무등급","5_1회성",77400925
"269","49to53","F","6_무등급","5_1회성",77400926
"270","44to48","F","5_1회성","5_1회성",77433516
"271","44to48","M","6_무등급","5_1회성",77433517
"272","39to43","F","4_일반","6_무등급",77497684
"273","44to48","M","6_무등급","6_무등급",77540174
"274","59to63","M","5_1회성","5_1회성",77592660
"275","49to53","F","6_무등급","5_1회성",76820669
"276","49to53","F","6_무등급","3_우수",76849499
"277","44to48","M","4_일반","5_1회성",76908955
"278","44to48","F","6_무등급","4_일반",76933409
"279","59to63","F","5_1회성","4_일반",76936725
"280","44to48","F","6_무등급","4_일반",77192830
"281","54to58","F","6_무등급","5_1회성",77368757
"282","64to68","M","5_1회성","6_무등급",77456960
"283","44to48","F","6_무등급","5_1회성",77487848
"284","49to53","M","6_무등급","5_1회성",77555069
"285","24to28","F","6_무등급","5_1회성",76787453
"286","44to48","M","4_일반","2_VIP",76790708
"287","49to53","F","6_무등급","5_1회성",76837591
"288","59to63","M","6_무등급","2_VIP",76883677
"289","44to48","F","6_무등급","5_1회성",76927028
"290","69to73","M","6_무등급","5_1회성",76936903
"291","64to68","F","6_무등급","5_1회성",76936988
"292","54to58","F","6_무등급","4_일반",77099673
"293","54to58","M","6_무등급","6_무등급",77116038
"294","49to53","F","6_무등급","3_우수",77124946
"295","49to53","M","6_무등급","3_우수",77124947
"296","44to48","F","5_1회성","3_우수",77189820
"297","49to53","F","6_무등급","5_1회성",77265600
"298","59to63","F","4_일반","6_무등급",77413938
"299","49to53","F","6_무등급","5_1회성",77493025
"300","64to68","M","6_무등급","4_일반",77507149
"301","59to63","F","6_무등급","4_일반",77507150
"302","59to63","F","6_무등급","3_우수",77559342
"303","54to58","F","6_무등급","4_일반",77594850
"304","54to58","M","6_무등급","5_1회성",77657226
"305","24to28","F","5_1회성","6_무등급",76803797
"306","49to53","M","6_무등급","3_우수",77121473
"307","49to53","F","6_무등급","3_우수",77121474
"308","39to43","F","6_무등급","5_1회성",77262826
"309","49to53","F","6_무등급","4_일반",77368476
"310","54to58","M","6_무등급","5_1회성",77370607
"311","49to53","F","6_무등급","5_1회성",77370608
"312","44to48","M","6_무등급","5_1회성",77527041
"313","49to53","M","6_무등급","4_일반",77602953
"314","59to63","F","6_무등급","5_1회성",76975161
"315","59to63","F","6_무등급","5_1회성",77382338
"316","59to63","F","6_무등급","6_무등급",77402666
"317","49to53","F","4_일반","2_VIP",77451549
"318","69to73","M","6_무등급","5_1회성",77557489
"319","54to58","M","5_1회성","5_1회성",77574815
"320","49to53","M","6_무등급","5_1회성",77587693
"321","59to63","M","5_1회성","2_VIP",76802871
"322","54to58","M","6_무등급","5_1회성",76830990
"323","49to53","M","6_무등급","5_1회성",77115774
"324","49to53","F","6_무등급","5_1회성",77115859
"325","54to58","F","6_무등급","5_1회성",77428931
"326","54to58","M","6_무등급","5_1회성",77428932
"327","24to28","M","6_무등급","5_1회성",77428933
"328","39to43","M","4_일반","3_우수",77549988
"329","39to43","F","6_무등급","3_우수",77550067
"330","39to43","F","6_무등급","5_1회성",76977604
"331","39to43","F","6_무등급","5_1회성",77393894
"332","34to38","M","4_일반","6_무등급",77470644
"333","49to53","F","6_무등급","2_VIP",77576254
"334","69to73","F","6_무등급","5_1회성",77578799
"335","29to33","M","6_무등급","6_무등급",77606065
"336","49to53","F","6_무등급","5_1회성",76795130
"337","24to28","M","6_무등급","5_1회성",76795132
"338","54to58","F","6_무등급","4_일반",76798064
"339","64to68","F","6_무등급","5_1회성",76798066
"340","34to38","M","6_무등급","5_1회성",76858974
"341","49to53","F","6_무등급","5_1회성",77089027
"342","19to23","F","6_무등급","5_1회성",77089111
"343","44to48","M","5_1회성","4_일반",77140641
"344","59to63","M","5_1회성","5_1회성",77391447
"345","39to43","M","6_무등급","5_1회성",77418861
"346","54to58","M","5_1회성","5_1회성",77420777
"347","64to68","M","6_무등급","4_일반",77482050
"348","64to68","F","6_무등급","5_1회성",77578959
"349","69to73","M","6_무등급","4_일반",77654648
"350","49to53","F","6_무등급","3_우수",76932411
"351","54to58","F","4_일반","5_1회성",77036351
"352","44to48","M","6_무등급","5_1회성",77107235
"353","54to58","M","6_무등급","4_일반",77243134
"354","44to48","F","6_무등급","5_1회성",77390130
"355","59to63","F","6_무등급","6_무등급",77403386
"356","44to48","F","6_무등급","2_VIP",77415281
"357","64to68","M","6_무등급","3_우수",77500558
"358","49to53","F","4_일반","4_일반",77510034
"359","74to78","M","6_무등급","5_1회성",77522656
"360","64to68","F","6_무등급","3_우수",77522657
"361","44to48","M","5_1회성","5_1회성",77536691
"362","44to48","F","5_1회성","5_1회성",77623652
"363","54to58","F","6_무등급","5_1회성",76772456
"364","44to48","F","5_1회성","6_무등급",76849301
"365","54to58","F","6_무등급","4_일반",77122945
"366","54to58","F","5_1회성","5_1회성",77210517
"367","19to23","M","5_1회성","6_무등급",77210597
"368","24to28","F","4_일반","6_무등급",77243554
"369","64to68","M","4_일반","1_VVIP",77319201
"370","59to63","F","4_일반","1_VVIP",77319202
"371","54to58","F","6_무등급","4_일반",77438395
"372","39to43","M","6_무등급","5_1회성",77474195
"373","39to43","F","6_무등급","5_1회성",77474274
"374","64to68","F","6_무등급","5_1회성",77508417
"375","49to53","M","6_무등급","3_우수",76951372
"376","54to58","F","6_무등급","3_우수",77122945
"377","49to53","M","6_무등급","6_무등급",77382909
"378","39to43","F","6_무등급","5_1회성",77424467
"379","54to58","F","6_무등급","4_일반",77441185
"380","74to78","M","6_무등급","5_1회성",76825294
"381","39to43","F","6_무등급","4_일반",76846965
"382","64to68","M","6_무등급","5_1회성",77078441
"383","54to58","F","6_무등급","6_무등급",77092788
"384","54to58","F","6_무등급","3_우수",77301187
"385","49to53","M","5_1회성","4_일반",77324414
"386","49to53","F","6_무등급","6_무등급",77329158
"387","44to48","M","6_무등급","6_무등급",77353172
"388","34to38","F","5_1회성","5_1회성",77574035
"389","39to43","F","6_무등급","5_1회성",76771163
"390","24to28","F","6_무등급","6_무등급",76812169
"391","49to53","F","6_무등급","3_우수",76812170
"392","29to33","F","6_무등급","4_일반",76914156
"393","39to43","F","6_무등급","6_무등급",76947343
"394","39to43","F","5_1회성","6_무등급",76951638
"395","54to58","M","5_1회성","6_무등급",77010382
"396","54to58","M","5_1회성","4_일반",77030456
"397","44to48","F","6_무등급","5_1회성",77330573
"398","54to58","F","6_무등급","3_우수",77399727
"399","54to58","F","6_무등급","5_1회성",77411845
"400","59to63","F","6_무등급","6_무등급",77480267
"401","34to38","F","6_무등급","5_1회성",77482498
"402","44to48","M","4_일반","5_1회성",77532387
"403","59to63","M","6_무등급","2_VIP",77564824
"404","24to28","M","6_무등급","5_1회성",77564910
"405","54to58","F","4_일반","3_우수",77592259
"406","44to48","F","5_1회성","5_1회성",77639518
"407","49to53","F","6_무등급","3_우수",76881092
"408","24to28","F","3_우수","5_1회성",76881094
"409","29to33","M","5_1회성","5_1회성",76888887
"410","59to63","M","6_무등급","5_1회성",76917742
"411","44to48","M","6_무등급","3_우수",77014139
"412","44to48","M","4_일반","5_1회성",77030079
"413","59to63","M","6_무등급","2_VIP",77081021
"414","54to58","F","6_무등급","5_1회성",77269269
"415","49to53","F","5_1회성","2_VIP",77286550
"416","24to28","F","5_1회성","5_1회성",77308650
"417","64to68","M","6_무등급","4_일반",77324470
"418","49to53","M","6_무등급","5_1회성",77453903
"419","39to43","F","5_1회성","5_1회성",77561022
"420","49to53","F","6_무등급","4_일반",77562736
"421","54to58","M","6_무등급","3_우수",77624713
"422","59to63","M","6_무등급","6_무등급",77636952
"423","49to53","M","6_무등급","5_1회성",76769192
"424","49to53","M","6_무등급","4_일반",76792778
"425","49to53","F","6_무등급","5_1회성",76792779
"426","13to18","F","6_무등급","5_1회성",76792781
"427","49to53","F","6_무등급","5_1회성",76843430
"428","39to43","M","4_일반","3_우수",76885114
"429","64to68","M","5_1회성","6_무등급",76897491
"430","64to68","M","5_1회성","3_우수",77059254
"431","59to63","M","4_일반","6_무등급",77164731
"432","44to48","M","6_무등급","2_VIP",77309290
"433","59to63","F","5_1회성","5_1회성",77315543
"434","34to38","F","6_무등급","5_1회성",77317696
"435","54to58","M","6_무등급","5_1회성",77397731
"436","44to48","F","6_무등급","5_1회성",77397732
"437","54to58","F","6_무등급","3_우수",77417824
"438","44to48","M","6_무등급","5_1회성",77456318
"439","44to48","F","6_무등급","5_1회성",77496377
"440","44to48","F","6_무등급","2_VIP",77512558
"441","34to38","M","6_무등급","3_우수",77602025
"442","19to23","M","6_무등급","5_1회성",77618803
"443","44to48","F","5_1회성","3_우수",77623991
"444","69to73","M","6_무등급","5_1회성",77625384
"445","64to68","F","6_무등급","5_1회성",77625385
"446","54to58","M","6_무등급","5_1회성",77655964
"447","54to58","F","6_무등급","5_1회성",77655965
"448","49to53","F","6_무등급","5_1회성",76814372
"449","19to23","M","6_무등급","5_1회성",76814458
"450","74to78","M","5_1회성","5_1회성",76915004
"451","49to53","M","6_무등급","3_우수",76976144
"452","39to43","F","6_무등급","4_일반",77130226
"453","44to48","M","6_무등급","5_1회성",77141269
"454","64to68","M","6_무등급","3_우수",77268778
"455","59to63","F","5_1회성","3_우수",77289122
"456","49to53","M","6_무등급","5_1회성",77300956
"457","54to58","F","6_무등급","5_1회성",77305672
"458","69to73","M","6_무등급","2_VIP",77424272
"459","64to68","F","6_무등급","2_VIP",77424273
"460","69to73","M","5_1회성","2_VIP",77452611
"461","59to63","F","5_1회성","5_1회성",77452693
"462","44to48","M","6_무등급","5_1회성",77453755
"463","49to53","F","6_무등급","5_1회성",77554343
"464","49to53","F","6_무등급","3_우수",77562324
"465","64to68","M","6_무등급","2_VIP",77607274
"466","34to38","M","6_무등급","5_1회성",77640333
"467","49to53","M","6_무등급","4_일반",77657176
"468","29to33","F","5_1회성","5_1회성",76879035
"469","49to53","F","6_무등급","4_일반",76897997
"470","39to43","F","5_1회성","4_일반",77165234
"471","44to48","F","6_무등급","5_1회성",77195090
"472","64to68","M","6_무등급","3_우수",77197938
"473","64to68","F","6_무등급","3_우수",77197939
"474","39to43","M","6_무등급","5_1회성",77234065
"475","49to53","M","5_1회성","3_우수",77254008
"476","44to48","M","5_1회성","3_우수",77254009
"477","44to48","F","6_무등급","5_1회성",77284977
"478","44to48","M","6_무등급","5_1회성",77378658
"479","59to63","F","6_무등급","5_1회성",77447567
"480","54to58","M","6_무등급","4_일반",77464477
"481","39to43","M","5_1회성","6_무등급",77483163
"482","54to58","M","5_1회성","5_1회성",77484497
"483","64to68","F","6_무등급","5_1회성",77527532
"484","39to43","F","6_무등급","4_일반",76892458
"485","49to53","F","5_1회성","3_우수",77231561
"486","44to48","F","6_무등급","4_일반",77456880
"487","54to58","M","6_무등급","5_1회성",77483306
"488","34to38","M","6_무등급","5_1회성",77521395
"489","39to43","F","6_무등급","4_일반",77574063
"490","54to58","F","5_1회성","5_1회성",77576364
"491","24to28","F","4_일반","5_1회성",77576366
"492","54to58","M","5_1회성","3_우수",76767205
"493","64to68","M","6_무등급","6_무등급",76861436
"494","49to53","F","6_무등급","4_일반",76876258
"495","49to53","M","5_1회성","5_1회성",77042953
"496","49to53","F","5_1회성","3_우수",77085098
"497","49to53","F","6_무등급","5_1회성",77467835
"498","49to53","M","4_일반","4_일반",77617572
"499","64to68","M","6_무등급","4_일반",77655894
"500","54to58","F","6_무등급","4_일반",77655895
"501","59to63","M","6_무등급","4_일반",76847719
"502","44to48","F","4_일반","5_1회성",77001791
"503","69to73","M","4_일반","4_일반",77517884
"504","54to58","F","6_무등급","6_무등급",77528074
"505","39to43","M","5_1회성","6_무등급",77533084
"506","39to43","F","6_무등급","6_무등급",76856433
"507","59to63","F","6_무등급","3_우수",77151636
"508","54to58","M","6_무등급","5_1회성",77173213
"509","29to33","F","6_무등급","5_1회성",77173298
"510","74to78","M","6_무등급","5_1회성",77217913
"511","64to68","M","6_무등급","3_우수",77514606
"512","64to68","F","5_1회성","3_우수",77538005
"513","64to68","F","6_무등급","3_우수",77547512
"514","54to58","F","6_무등급","6_무등급",76887668
"515","59to63","M","6_무등급","2_VIP",77104325
"516","39to43","F","6_무등급","5_1회성",77315344
"517","74to78","F","6_무등급","5_1회성",77388383
"518","74to78","M","6_무등급","4_일반",77495536
"519","54to58","F","6_무등급","5_1회성",77505248
"520","44to48","M","4_일반","5_1회성",77647596
"521","49to53","F","6_무등급","5_1회성",76795298
"522","54to58","F","6_무등급","5_1회성",76881142
"523","54to58","F","5_1회성","5_1회성",76958017
"524","29to33","M","4_일반","5_1회성",77129607
"525","44to48","F","4_일반","2_VIP",77247315
"526","44to48","F","6_무등급","5_1회성",77338479
"527","59to63","F","6_무등급","5_1회성",77366810
"528","74to78","M","6_무등급","5_1회성",77589148
"529","44to48","M","4_일반","5_1회성",77647596
"530","24to28","F","4_일반","6_무등급",76803797
"531","64to68","M","6_무등급","5_1회성",76869936
"532","59to63","F","6_무등급","5_1회성",76891675
"533","49to53","F","5_1회성","2_VIP",77217998
"534","44to48","F","6_무등급","4_일반",77233606
"535","39to43","M","5_1회성","4_일반",77478956
"536","49to53","M","4_일반","6_무등급",77536747
"537","54to58","M","6_무등급","4_일반",77657226
"538","54to58","F","6_무등급","5_1회성",77177789
"539","49to53","M","5_1회성","5_1회성",77491228
"540","64to68","M","6_무등급","5_1회성",77495488
"541","59to63","F","6_무등급","5_1회성",77495489
"542","24to28","F","6_무등급","5_1회성",77495490
"543","54to58","F","6_무등급","4_일반",77583735
"544","49to53","M","6_무등급","4_일반",77067856
"545","64to68","F","5_1회성","3_우수",77147554
"546","49to53","F","6_무등급","4_일반",77218779
"547","39to43","F","6_무등급","6_무등급",77409262
"548","64to68","M","6_무등급","3_우수",76817297
"549","59to63","F","6_무등급","3_우수",76817298
"550","54to58","F","6_무등급","5_1회성",76886752
"551","24to28","F","6_무등급","5_1회성",76957299
"552","54to58","M","5_1회성","1_VVIP",77007805
"553","49to53","F","6_무등급","2_VIP",77007806
"554","44to48","F","3_우수","6_무등급",77222998
"555","39to43","F","6_무등급","3_우수",77287609
"556","59to63","M","6_무등급","3_우수",77422059
"557","44to48","F","4_일반","5_1회성",77525325
"558","59to63","M","6_무등급","4_일반",77628348
"559","49to53","F","6_무등급","3_우수",77636965
"560","54to58","F","6_무등급","3_우수",76830503
"561","39to43","F","6_무등급","5_1회성",76835954
"562","54to58","F","6_무등급","3_우수",77081058
"563","34to38","F","6_무등급","6_무등급",77298581
"564","49to53","M","4_일반","6_무등급",76871737
"565","39to43","F","6_무등급","5_1회성",77049573
